Name,Gender ,Type
Naoki Egami,0,Individual Submission
Kosuke Imai,0,Individual Submission
Sinh Nguyen,0,Individual Submission
Chad Hazlett,0,Individual Submission
Yiqing Xu,0,Individual Submission
Mark A. Pickup,0,Individual Submission
Nicholas Beauchamp,0,Chair
Sara Bouchat,1,Discussant
Nhung Bui,1,Individual Submission
Azusa Katagiri,0,Individual Submission
Jeehye Kim,1,Individual Submission
Eric Min,0,Individual Submission
Will Lowe,0,Chair
Margaret E Roberts,1,Discussant
Erin Baggot,1,Discussant
Adeline Lo,1,Individual Submission
Louise Thorn Bottkjaer,1,Individual Submission
Ryan D. Enos,0,Individual Submission
Mark Hill,0,Individual Submission
Austin Michael Strange,0,Individual Submission
Thomas J. Leeper,0,Chair
Alexander Coppock,0,Discussant
Scott Barclay,0,Chair
Timothy P. Nokken,0,Individual Submission
Walter R. Mebane,0,Chair
Matthew Lebo,0,Discussant
Jonathan Homola,0,Discussant
Jeffrey B. Arnold,0,Individual Submission
Aaron S. Erlich,0,Individual Submission
Danielle F. Jung,1,Individual Submission
James D. Long,0,Individual Submission
Elias Dinas,0,Individual Submission
Konstantinos Matakos,0,Individual Submission
Chad Kiewiet de Jonge,0,Individual Submission
Muhammet Bas,0,Individual Submission
Randall W. Stone,0,Individual Submission
Tsung-han Tsai,0,Individual Submission
Ahra Wu,1,Individual Submission
Taeyong Park,0,Individual Submission
William Bosworth,0,Individual Submission
Janet M. Box-Steffensmeier,1,Chair
Simon D. Jackman,0,Discussant
Shahryar Minhas,0,Individual Submission
Michael D. Ward,0,Individual Submission
Peter Hoff,0,Individual Submission
Imke Harbers,1,Individual Submission
Matthew C. Ingram,0,Individual Submission
QingQian He,1,Individual Submission
YaQian He,1,Individual Submission
Claudia Zucca,1,Individual Submission
Philipp Hunziker,0,Chair
Andrew Colopy,0,Discussant
John Girdwood,0,Individual Submission
Carreras Timoneda,0,Individual Submission
Clayton McLaughlin Webb,0,Individual Submission
Joe Weinberg,0,Individual Submission
Casey Crisman-Cox,0,Individual Submission
Michael Gibilisco,0,Individual Submission
Yuta Kamahara,0,Individual Submission
Jake M Grumbach,0,Individual Submission
Patrich Y. Wu,0,Individual Submission
Baobao Zhang,1,Individual Submission
Matto Mildenberger,0,Individual Submission
Alexander Kustov,0,Individual Submission
Giuliana Pardelli,1,Individual Submission
Hsuan-Wei Lee,0,Individual Submission
Huan-Kai Tseng,0,Individual Submission
Mark A. Pickup,0,Discussant
Kai Jager,0,Discussant
Andreu Casas,0,Individual Submission
Nora Webb Williams,1,Individual Submission
Michael Shalev,0,Individual Submission
Noah Buckley,0,Individual Submission
Ted Enamorado,0,Individual Submission
Kosuke Imai,0,Individual Submission
Mark A. Pickup,0,Chair
John D. Wilkerson,0,Discussant
Jong Hee Park,0,Individual Submission
Yunkyu Sohn,0,Individual Submission
Soichiro Yamauchi,0,Individual Submission
Kentaro Fukumoto,0,Individual Submission
Luke Keele,0,Individual Submission
Rocio Titiunik,0,Chair
Claudia Zucca,1,Discussant
Nathaniel Beck,0,Chair
Kenneth R. Benoit,0,Individual Submission
Justin Grimmer,0,Individual Submission
Kosuke Imai,0,Individual Submission
James Edward Monogan,0,Individual Submission
Vera Eva Troeger,1,Individual Submission
Peter M. Aronow,0,Individual Submission
Jonathon Baron,0,Individual Submission
Alexander Coppock,0,Individual Submission
William Marble,0,Individual Submission
Matthew Tyler,0,Individual Submission
Michael A. Bailey,0,Individual Submission
R. Michael Alvarez,0,Individual Submission
Lonna Rae Atkeson,1,Individual Submission
Ines Levin,1,Individual Submission
Alberto Simpser,0,Chair
Michael James Ritter,0,Discussant
Baekkwan Park,0,Individual Submission
Robert Thuan Brathwaite,0,Individual Submission
Patrick Kraft,0,Individual Submission
Ryan P. Kennedy,0,Individual Submission
Quand Li,0,Individual Submission
Nicholas Beauchamp,0,Individual Submission
Irmak Yazici,1,Chair
Kevin Costa,0,Discussant
Yunkyu Sohn,0,Individual Submission
Michael Decrescenzo,0,Individual Submission
Peter M. Li,0,Individual Submission
Amanda A.J. Jadidi d'Urso,1,Individual Submission
Christopher Hare,0,Chair
Pedro Luis Rodriguez,0,Discussant
Jason Anastasopoulos,0,Chair
Michelle Torres,1,Individual Submission
Melissa Sands,1,Individual Submission
Bryce Dietrich,0,Individual Submission
Christopher Lucas,0,Individual Submission
Jason Anastasopoulos,0,Individual Submission
Jason V. Poulos,0,Individual Submission
John D. Wilkerson,0,Individual Submission
Andreu Casas,0,Individual Submission
Matthew Denny,0,Individual Submission
Sebastian Thieme,0,Individual Submission
Kevin McAlister,0,Individual Submission
David Sylvan,0,Individual Submission
Ashley Thornton,1,Individual Submission
Eric A. Baldwin,0,Chair
Steven S. Smith,0,Discussant
Kirk Bansak,0,Individual Submission
Sebastian Lundmark,0,Individual Submission
Jon A. Krosnick,0,Individual Submission
Seth J. Hill,0,Individual Submission
Maragaret E. Roberts,1,Individual Submission
Armando Nicolas Meier,0,Individual Submission
Matthew Blackwell,0,Chair
Chad Hazlett,0,Discussant
Devin Judge-Lord,0,Individual Submission
Arthur Spirling,0,Individual Submission
Kenneth R. Benoit,0,Individual Submission
Kevin Munger,0,Individual Submission
Sarah Bouchat,1,Individual Submission
Andrew Peterson,0,Individual Submission
Christopher Lucas,0,Chair
Constanza F. Schibber,0,Discussant
Jowei Chen,0,Individual Submission
Tim Johnson,0,Individual Submission
Constanza Sanhueza Petrarca,1,Individual Submission
Michael Bernhard,0,Individual Submission
Staffan I. Lindberg,0,Individual Submission
Brigitte Seim,1,Individual Submission
Kyle L. Marquardt,0,Individual Submission
Daniel Pemstein,0,Individual Submission
Jason Anastasopoulos,0,Individual Submission
Ryan Copus,0,Individual Submission
Ryan Hubert,0,Individual Submission
Ching-Hsing Wang,0,Chair
Amy Semet,1,Discussant
Dean P. Lacy,0,Individual Submission
Gabriel Lenz,0,Individual Submission
Sean Freeder,0,Individual Submission
Shad Turney,0,Individual Submission
Chris Tausanovitch,0,Individual Submission
Charlotte Cavaille,1,Individual Submission
Karine Van der Straeten,1,Individual Submission
Daniel Li Chen,0,Individual Submission
Elizabeth O'Callaghan,1,Individual Submission
Bailey Rose-Marie Fairbanks,1,Individual Submission
Liam Hayes,0,Individual Submission
Adam Bonica,0,Chair
Scott Clifford,0,Discussant
Michael James Ritter,0,Individual Submission
Alex Adams,0,Individual Submission
Pedro Luis Rodriguez,0,Individual Submission
Jonathan David Klingler,0,Chair
Soenke Ehret ,0,Discussant
Stefan J. Wojcik,0,Individual Submission
William Hobbs,0,Individual Submission
David Lazer,0,Individual Submission
Michael Sances,0,Individual Submission
David Alan Muchlinski,0,Individual Submission
Sarah Birch,1,Individual Submission
Walter R. Mebane,0,Individual Submission
Blake Miller,0,Individual Submission
Alejandro Pineda,0,Individual Submission
Joe Klaver,0,Individual Submission
Patrick Y. Wu,0,Individual Submission
Logan Woods,0,Individual Submission
Kai Jager,0,Individual Submission
Kentaro Fukumoto,0,Chair
Devin Judge-Lord,0,Discussant
Joshua Yoshio Lerner,0,Individual Submission
Mathew D. McCubbins,0,Individual Submission
Evangeline Mae Reynolds,1,Individual Submission
Brian J. Gaines,0,Individual Submission
Robert Shaffer,0,Individual Submission
Janosch Prinz,0,Individual Submission
Jeffrey B. Arnold,0,Chair
Jonathan David Klingler,0,Discussant
Michael Kearney,0,Individual Submission
Clayton McLaughlin Webb,0,Individual Submission
Shawna K. Metzger,1,Individual Submission
Benjamin Thomas Jones,0,Individual Submission
Anastasia Ushakova,1,Individual Submission
Slava Mikhaylov,0,Individual Submission
Clayton McLaughlin Webb,0,Individual Submission
Suzanna Linn,1,Individual Submission
Matthew Lebo,0,Individual Submission
Abby K. Wood,1,Chair
Charles L. Mitchell,0,Discussant
Cory Belden,0,Individual Submission
Christopher Hare,0,Individual Submission
Ryan Bakker,0,Individual Submission
Guido Tiemann,0,Individual Submission
Elisabeth R. Gerber,1,Individual Submission
Simon Munzert,0,Individual Submission
Diogo Ferrari,0,Chair
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
